Time,Aggregate_CPU(%),Aggregate_Memory(GB)
2025-12-01 13:27:58,0.0,0.00
2025-12-01 13:28:01,0.0,0.00
2025-12-01 13:28:05,0.0,0.00
2025-12-01 13:28:08,0.0,0.00
2025-12-01 13:28:11,0.0,0.00
2025-12-01 13:28:14,0.0,0.00
2025-12-01 13:28:17,0.0,0.00
2025-12-01 13:28:20,0.0,0.00
2025-12-01 13:28:23,0.0,0.00
2025-12-01 13:28:26,0.0,0.00
2025-12-01 13:28:29,0.0,0.00
2025-12-01 13:28:32,0.0,0.00
2025-12-01 13:28:35,0.0,0.00
2025-12-01 13:28:38,0.0,0.00
2025-12-01 13:28:41,0.0,0.00
2025-12-01 13:28:44,0.0,0.00
2025-12-01 13:28:47,0.0,0.00
2025-12-01 13:28:50,0.0,0.00
2025-12-01 13:28:53,0.0,0.00
2025-12-01 13:28:56,0.0,0.00
2025-12-01 13:28:59,193.0,0.27
2025-12-01 13:29:03,184.0,0.49
2025-12-01 13:29:06,0.0,0.00
2025-12-01 13:29:09,0.0,0.00
2025-12-01 13:29:12,0.0,0.00
2025-12-01 13:29:15,0.0,0.00
2025-12-01 13:29:18,0.0,0.00
2025-12-01 13:29:21,0.0,0.00
2025-12-01 13:29:24,0.0,0.00
2025-12-01 13:29:27,0.0,0.00
2025-12-01 13:29:31,0.0,0.00
2025-12-01 13:29:34,0.0,0.00
2025-12-01 13:29:37,0.0,0.00
2025-12-01 13:29:40,0.0,0.00
2025-12-01 13:29:43,0.0,0.00
2025-12-01 13:29:46,0.0,0.00
2025-12-01 13:29:49,0.0,0.00
2025-12-01 13:29:52,0.0,0.00
2025-12-01 13:29:55,0.0,0.00
2025-12-01 13:29:58,0.0,0.00
2025-12-01 13:30:01,0.0,0.00
2025-12-01 13:30:04,0.0,0.00
2025-12-01 13:30:07,0.0,0.00
2025-12-01 13:30:10,0.0,0.00
2025-12-01 13:30:13,0.0,0.00
2025-12-01 13:30:16,0.0,0.00
2025-12-01 13:30:19,0.0,0.00
2025-12-01 13:30:22,0.0,0.00
2025-12-01 13:30:25,0.0,0.00
2025-12-01 13:30:28,0.0,0.00
2025-12-01 13:30:31,0.0,0.00
2025-12-01 13:30:34,0.0,0.00
2025-12-01 13:30:37,0.0,0.00
2025-12-01 13:30:40,0.0,0.00
2025-12-01 13:30:43,0.0,0.00
2025-12-01 13:30:46,0.0,0.00
2025-12-01 13:30:49,0.0,0.00
2025-12-01 13:30:53,0.0,0.00
2025-12-01 13:30:56,0.0,0.00
2025-12-01 13:30:59,0.0,0.00
2025-12-01 13:31:02,0.0,0.00
2025-12-01 13:31:05,0.0,0.00
2025-12-01 13:31:08,0.0,0.00
2025-12-01 13:31:11,0.0,0.00
2025-12-01 13:31:14,0.0,0.00
2025-12-01 13:31:17,0.0,0.00
2025-12-01 13:31:20,0.0,0.00
2025-12-01 13:31:23,0.0,0.00
2025-12-01 13:31:26,0.0,0.00
2025-12-01 13:31:29,0.0,0.00
2025-12-01 13:31:32,0.0,0.00
2025-12-01 13:31:35,0.0,0.00
2025-12-01 13:31:38,0.0,0.00
2025-12-01 13:31:41,0.0,0.00
2025-12-01 13:31:44,0.0,0.00
2025-12-01 13:31:47,0.0,0.00
2025-12-01 13:31:50,0.0,0.00
2025-12-01 13:31:53,0.0,0.00
2025-12-01 13:31:56,0.0,0.00
2025-12-01 13:31:59,0.0,0.00
2025-12-01 13:32:02,0.0,0.00
2025-12-01 13:32:05,0.0,0.00
2025-12-01 13:32:08,0.0,0.00
2025-12-01 13:32:11,0.0,0.00
2025-12-01 13:32:15,0.0,0.00
2025-12-01 13:32:18,0.0,0.00
2025-12-01 13:32:21,0.0,0.00
2025-12-01 13:32:24,0.0,0.00
2025-12-01 13:32:27,0.0,0.00
2025-12-01 13:32:30,0.0,0.00
2025-12-01 13:32:33,0.0,0.00
2025-12-01 13:32:36,0.0,0.00
2025-12-01 13:32:39,0.0,0.00
2025-12-01 13:32:42,0.0,0.00
2025-12-01 13:32:45,0.0,0.00
2025-12-01 13:32:48,0.0,0.00
2025-12-01 13:32:51,0.0,0.00
2025-12-01 13:32:54,0.0,0.00
2025-12-01 13:32:57,0.0,0.00
2025-12-01 13:33:00,0.0,0.00
2025-12-01 13:33:03,0.0,0.00
2025-12-01 13:33:06,0.0,0.00
2025-12-01 13:33:09,0.0,0.00
2025-12-01 13:33:12,0.0,0.00
2025-12-01 13:33:15,0.0,0.00
2025-12-01 13:33:18,0.0,0.00
2025-12-01 13:33:21,0.0,0.00
2025-12-01 13:33:24,0.0,0.00
2025-12-01 13:33:27,0.0,0.00
2025-12-01 13:33:30,0.0,0.00
2025-12-01 13:33:34,0.0,0.00
2025-12-01 13:33:37,0.0,0.00
2025-12-01 13:33:40,0.0,0.00
2025-12-01 13:33:43,0.0,0.00
2025-12-01 13:33:46,0.0,0.00
2025-12-01 13:33:49,0.0,0.00
2025-12-01 13:33:52,0.0,0.00
2025-12-01 13:33:55,0.0,0.00
2025-12-01 13:33:58,0.0,0.00
2025-12-01 13:34:01,0.0,0.00
2025-12-01 13:34:04,0.0,0.00
2025-12-01 13:34:07,0.0,0.27
2025-12-01 13:34:11,206.9,0.48
2025-12-01 13:34:15,75.0,0.59
2025-12-01 13:34:19,109.0,0.78
2025-12-01 13:34:23,179.0,1.05
2025-12-01 13:34:27,274.0,1.17
2025-12-01 13:34:31,223.0,1.81
2025-12-01 13:34:35,295.0,2.48
2025-12-01 13:34:39,243.0,2.54
2025-12-01 13:34:43,374.0,3.33
2025-12-01 13:34:47,56.0,3.37
2025-12-01 13:34:51,274.0,4.16
2025-12-01 13:34:54,0.0,0.00
2025-12-01 13:34:58,0.0,0.00
2025-12-01 13:35:01,0.0,0.00
2025-12-01 13:35:04,0.0,0.00
2025-12-01 13:35:07,0.0,0.00
2025-12-01 13:35:10,0.0,0.00
2025-12-01 13:35:13,0.0,0.00
2025-12-01 13:35:16,0.0,0.00
2025-12-01 13:35:19,0.0,0.00
2025-12-01 13:35:22,0.0,0.00
2025-12-01 13:35:25,0.0,0.00
2025-12-01 13:35:28,0.0,0.00
2025-12-01 13:35:31,0.0,0.00
2025-12-01 13:35:34,0.0,0.00
2025-12-01 13:35:37,0.0,0.00
2025-12-01 13:35:40,0.0,0.00
2025-12-01 13:35:43,0.0,0.00
2025-12-01 13:35:46,0.0,0.00
2025-12-01 13:35:49,0.0,0.00
2025-12-01 13:35:52,0.0,0.00
2025-12-01 13:35:55,0.0,0.00
2025-12-01 13:35:58,0.0,0.00
2025-12-01 13:36:01,0.0,0.00
2025-12-01 13:36:04,0.0,0.00
2025-12-01 13:36:07,0.0,0.00
2025-12-01 13:36:10,0.0,0.00
2025-12-01 13:36:14,0.0,0.00
2025-12-01 13:36:17,0.0,0.00
2025-12-01 13:36:20,0.0,0.00
2025-12-01 13:36:23,0.0,0.00
2025-12-01 13:36:26,0.0,0.00
2025-12-01 13:36:29,0.0,0.00
2025-12-01 13:36:32,0.0,0.00
2025-12-01 13:36:35,0.0,0.00
2025-12-01 13:36:38,0.0,0.00
2025-12-01 13:36:41,0.0,0.00
2025-12-01 13:36:44,0.0,0.00
2025-12-01 13:36:47,0.0,0.00
2025-12-01 13:36:50,0.0,0.00
2025-12-01 13:36:53,0.0,0.00
2025-12-01 13:36:56,0.0,0.00
2025-12-01 13:36:59,0.0,0.00
2025-12-01 13:37:02,0.0,0.00
2025-12-01 13:37:05,0.0,0.00
2025-12-01 13:37:08,0.0,0.00
2025-12-01 13:37:11,0.0,0.00
2025-12-01 13:37:14,0.0,0.00
2025-12-01 13:37:17,0.0,0.00
2025-12-01 13:37:20,0.0,0.00
2025-12-01 13:37:23,0.0,0.00
2025-12-01 13:37:26,0.0,0.00
2025-12-01 13:37:29,0.0,0.00
2025-12-01 13:37:33,0.0,0.00
2025-12-01 13:37:36,0.0,0.00
2025-12-01 13:37:39,0.0,0.00
2025-12-01 13:37:42,0.0,0.00
2025-12-01 13:37:45,0.0,0.00
2025-12-01 13:37:48,0.0,0.00
2025-12-01 13:37:51,0.0,0.00
2025-12-01 13:37:54,0.0,0.00
2025-12-01 13:37:57,0.0,0.00
2025-12-01 13:38:00,0.0,0.00
2025-12-01 13:38:03,0.0,0.00
2025-12-01 13:38:06,0.0,0.00
2025-12-01 13:38:09,0.0,0.00
2025-12-01 13:38:12,0.0,0.00
2025-12-01 13:38:15,0.0,0.00
2025-12-01 13:38:18,0.0,0.00
2025-12-01 13:38:21,0.0,0.00
2025-12-01 13:38:24,0.0,0.00
2025-12-01 13:38:27,0.0,0.00
2025-12-01 13:38:30,0.0,0.00
2025-12-01 13:38:33,0.0,0.00
2025-12-01 13:38:36,0.0,0.00
2025-12-01 13:38:39,0.0,0.00
2025-12-01 13:38:42,0.0,0.00
2025-12-01 13:38:45,0.0,0.00
2025-12-01 13:38:48,0.0,0.00
2025-12-01 13:38:52,0.0,0.00
2025-12-01 13:38:55,0.0,0.00
2025-12-01 13:38:58,0.0,0.00
2025-12-01 13:39:01,0.0,0.00
2025-12-01 13:39:04,0.0,0.00
2025-12-01 13:39:07,0.0,0.00
2025-12-01 13:39:10,0.0,0.00
2025-12-01 13:39:13,0.0,0.00
2025-12-01 13:39:16,0.0,0.00
2025-12-01 13:39:19,0.0,0.00
2025-12-01 13:39:22,0.0,0.00
2025-12-01 13:39:25,0.0,0.00
2025-12-01 13:39:28,0.0,0.00
2025-12-01 13:39:31,0.0,0.00
2025-12-01 13:39:34,0.0,0.00
2025-12-01 13:39:37,0.0,0.00
2025-12-01 13:39:40,0.0,0.00
2025-12-01 13:39:43,0.0,0.00
2025-12-01 13:39:46,0.0,0.00
2025-12-01 13:39:49,0.0,0.00
2025-12-01 13:39:53,0.0,0.00
2025-12-01 13:39:56,183.0,0.32
2025-12-01 13:39:59,0.0,0.00
2025-12-01 13:40:02,0.0,0.00
2025-12-01 13:40:05,0.0,0.00
2025-12-01 13:40:08,0.0,0.00
2025-12-01 13:40:11,0.0,0.00
2025-12-01 13:40:14,0.0,0.00
2025-12-01 13:40:17,0.0,0.00
2025-12-01 13:40:20,0.0,0.00
2025-12-01 13:40:23,0.0,0.00
2025-12-01 13:40:26,0.0,0.00
2025-12-01 13:40:29,0.0,0.00
2025-12-01 13:40:32,0.0,0.00
2025-12-01 13:40:35,0.0,0.00
2025-12-01 13:40:38,0.0,0.00
2025-12-01 13:40:41,0.0,0.00
2025-12-01 13:40:44,0.0,0.00
2025-12-01 13:40:47,0.0,0.00
2025-12-01 13:40:50,0.0,0.00
2025-12-01 13:40:53,0.0,0.00
2025-12-01 13:40:56,0.0,0.00
2025-12-01 13:40:59,0.0,0.00
2025-12-01 13:41:02,0.0,0.00
2025-12-01 13:41:05,0.0,0.00
2025-12-01 13:41:08,0.0,0.00
2025-12-01 13:41:11,0.0,0.00
2025-12-01 13:41:15,0.0,0.00
2025-12-01 13:41:18,0.0,0.00
2025-12-01 13:41:21,0.0,0.00
2025-12-01 13:41:24,0.0,0.00
2025-12-01 13:41:27,0.0,0.00
2025-12-01 13:41:30,0.0,0.00
2025-12-01 13:41:33,0.0,0.00
